longitude,latitude
113.679442,34.880974
113.679442,34.880974
113.619941,34.772426
113.610967,34.776112
113.681132,34.723755
113.638693,34.715778
113.71591,34.776648
113.611415,34.769572
113.656663,34.724584
116.440241,39.892416
113.775879,34.743385
113.769816,34.754525
113.766089,34.758169
113.716148,34.76098
113.650019,34.774906
113.653278,34.771415
113.78782,34.712107
113.539155,34.721222
113.744691,34.720294
113.83726,34.737407
113.606568,37.853433
113.41094,34.528788
113.709341,34.761342
113.703976,34.743363
113.705499,34.72474
113.76066,34.675073
113.681911,34.748418
113.822755,34.753183
113.679664,34.75591
113.694729,34.731862
113.646428,34.808352
113.705554,34.774849
113.675835,34.774484
113.648381,34.796276
113.663223,34.779613
113.689639,34.76375
113.710332,34.764333
113.69795,34.811366
113.803656,34.819338
113.683627,34.836943
113.773226,34.786494
113.723922,34.75662
113.642324,34.723937
113.670254,34.759809
113.663083,34.736951
113.653681,34.741325
113.644971,34.737888
113.653198,34.762263
113.631419,34.753439
113.29089,34.811574
113.315836,34.795338
113.610198,34.765463
113.624975,34.762744
113.609319,34.767057
113.339543,34.813718
113.493061,34.756527
112.969566,34.441547
113.7812,34.41123
113.426322,34.54144
113.544388,34.599836
116.809093,40.039629
113.494097,34.767304
113.558771,34.718796
113.571124,34.767569
113.550607,34.712719
113.626577,34.777978
113.607571,34.784901
113.598735,34.744285
113.610967,34.776112
113.619941,34.772426
113.599833,34.767173
113.725502,34.766354
113.699343,34.833706
113.704722,34.761472
113.74082,34.78131
113.689547,34.783219
113.802713,34.815727
113.612071,34.726251
113.595592,34.738717
113.619308,34.723979
113.631419,34.753439
113.596858,34.718922
113.6071,34.71384
113.642813,34.739414
113.617246,34.764482
113.623666,34.766355
113.623537,34.766276
113.631419,34.753439
116.377251,39.971035
113.599091,34.761813
113.656324,34.782684
113.611752,34.758845
113.596803,34.756496
116.211962,40.007919
113.58817,34.755861
113.611186,34.750704
116.108298,39.939951
113.61187,34.743629
116.240362,39.908889
113.960306,34.725158
113.627104,34.721998
113.615187,34.759525
116.229936,40.194281
113.631419,34.753439
113.622625,34.761326
113.625561,34.739205
113.627866,34.74663
113.047763,34.454547
